SA1_CODE_2021,zone_tier,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
11103122726,core,63,172,65,107,20,43,79,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,147,319,7,..,154,319
11103122727,core,92,277,3,5,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,282,3,..,99,282
11103122728,core,130,365,57,105,0,5,53,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,478,3,..,188,478
11103122729,core,177,425,11,13,8,15,20,34,9,16,0,0,0,0,0,0,0,0,9,16,0,0,0,0,0,0,0,0,0,0,0,0,206,473,7,..,219,473
11103122730,core,166,411,15,24,9,26,29,51,19,24,0,0,0,0,0,0,0,0,23,22,0,0,0,0,0,0,0,0,0,0,0,0,221,483,20,..,237,483
11103122731,core,174,375,32,74,22,30,53,105,17,27,0,0,0,0,0,0,5,7,19,31,0,0,0,0,0,0,7,18,7,18,0,0,245,526,22,..,275,526
11103122732,core,141,364,50,58,10,13,63,77,4,7,0,0,18,33,0,0,0,0,23,40,0,0,0,0,0,0,0,0,0,0,0,0,230,482,35,..,260,482
11103122733,core,143,338,5,9,4,6,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,10,16,0,0,159,362,11,..,171,362
11103122734,core,155,398,14,28,7,12,21,39,7,11,0,0,0,0,0,0,4,7,12,16,0,0,0,0,0,0,0,0,0,0,3,7,193,457,17,..,206,457
11103122735,core,147,323,11,25,21,31,36,55,4,16,0,0,0,0,0,0,0,0,4,16,0,0,0,0,0,0,0,0,0,0,0,0,189,395,15,..,203,395
