Year_Month,Location,Card_type,Trip
2019-05,Newcastle Interchange Light Rail,CTP,1693
2019-05,Newcastle Interchange Light Rail,Child/Youth,1632
2019-05,Newcastle Interchange Light Rail,Concession,4051
2019-05,Newcastle Interchange Light Rail,Employee,135
2019-05,Newcastle Interchange Light Rail,Free Travel,186
2019-05,Newcastle Interchange Light Rail,School Student,346
2019-05,Newcastle Interchange Light Rail,Senior/Pensioner,8992
2019-05,Newcastle Interchange Light Rail,Sgl Trip LR Adult,305
2019-05,Newcastle Interchange Light Rail,Sgl Trip LR Child/Youth,127
2019-05,Queens Wharf Light Rail,Adult,7084
2019-05,Queens Wharf Light Rail,CTP,589
2019-05,Queens Wharf Light Rail,Child/Youth,697
2019-05,Queens Wharf Light Rail,Concession,684
2019-05,Queens Wharf Light Rail,Day Pass without SAF,1
2019-05,Queens Wharf Light Rail,Employee,24
2019-05,Queens Wharf Light Rail,Free Travel,98
2019-05,Queens Wharf Light Rail,School Student,499
2019-05,Queens Wharf Light Rail,Senior/Pensioner,4419
2019-05,Queens Wharf Light Rail,Sgl Trip LR Adult,92
2019-05,Queens Wharf Light Rail,Sgl Trip LR Child/Youth,49
2019-06,Civic Light Rail,Adult,8456
2019-06,Civic Light Rail,CTP,953
2019-06,Civic Light Rail,Child/Youth,515
2019-06,Civic Light Rail,Concession,1286
2019-06,Civic Light Rail,Day Pass without SAF,1
2019-06,Civic Light Rail,Employee,36
2019-06,Civic Light Rail,Free Travel,67
2019-06,Civic Light Rail,School Student,78
2019-06,Civic Light Rail,Senior/Pensioner,2331
2019-06,Civic Light Rail,Sgl Trip LR Adult,91
2019-06,Civic Light Rail,Sgl Trip LR Child/Youth,29
2019-06,Crown Street Light Rail,Adult,3304
2019-06,Crown Street Light Rail,CTP,519
2019-06,Crown Street Light Rail,Child/Youth,294
2019-06,Crown Street Light Rail,Concession,245
2019-06,Crown Street Light Rail,Employee,54
2019-06,Crown Street Light Rail,Free Travel,19
2019-06,Crown Street Light Rail,School Student,53
2019-06,Crown Street Light Rail,Senior/Pensioner,1260
2019-06,Crown Street Light Rail,Sgl Trip LR Adult,42
2019-06,Crown Street Light Rail,Sgl Trip LR Child/Youth,11
2019-06,Honeysuckle Light Rail,Adult,5765
2019-06,Honeysuckle Light Rail,CTP,711
2019-06,Honeysuckle Light Rail,Child/Youth,478
2019-06,Honeysuckle Light Rail,Concession,535
2019-06,Honeysuckle Light Rail,Employee,48
2019-06,Honeysuckle Light Rail,Free Travel,34
2019-06,Honeysuckle Light Rail,School Student,349
2019-06,Honeysuckle Light Rail,Senior/Pensioner,2121
2019-06,Honeysuckle Light Rail,Sgl Trip LR Adult,83
2019-06,Honeysuckle Light Rail,Sgl Trip LR Child/Youth,25
2019-06,Newcastle Beach Light Rail,Adult,6198
2019-06,Newcastle Beach Light Rail,CTP,941
2019-06,Newcastle Beach Light Rail,Child/Youth,678
2019-06,Newcastle Beach Light Rail,Concession,444
2019-06,Newcastle Beach Light Rail,Day Pass without SAF,2
2019-06,Newcastle Beach Light Rail,Employee,18
2019-06,Newcastle Beach Light Rail,Free Travel,38
2019-06,Newcastle Beach Light Rail,School Student,163
2019-06,Newcastle Beach Light Rail,Senior/Pensioner,3223
2019-06,Newcastle Beach Light Rail,Sgl Trip LR Adult,139
2019-06,Newcastle Beach Light Rail,Sgl Trip LR Child/Youth,55
2019-06,Newcastle Interchange Light Rail,Adult,18797
2019-06,Newcastle Interchange Light Rail,CTP,1631
2019-06,Newcastle Interchange Light Rail,Child/Youth,1681
2019-06,Newcastle Interchange Light Rail,Concession,1954
2019-06,Newcastle Interchange Light Rail,Day Pass without SAF,2
2019-06,Newcastle Interchange Light Rail,Employee,119
2019-06,Newcastle Interchange Light Rail,Free Travel,131
2019-06,Newcastle Interchange Light Rail,School Student,303
2019-06,Newcastle Interchange Light Rail,Senior/Pensioner,6859
2019-06,Newcastle Interchange Light Rail,Sgl Trip LR Adult,366
2019-06,Newcastle Interchange Light Rail,Sgl Trip LR Child/Youth,148
2019-06,Queens Wharf Light Rail,Adult,6372
2019-06,Queens Wharf Light Rail,CTP,689
2019-06,Queens Wharf Light Rail,Child/Youth,788
2019-06,Queens Wharf Light Rail,Concession,461
2019-06,Queens Wharf Light Rail,Day Pass without SAF,2
2019-06,Queens Wharf Light Rail,Employee,28
2019-06,Queens Wharf Light Rail,Free Travel,88
2019-06,Queens Wharf Light Rail,School Student,414
2019-06,Queens Wharf Light Rail,Senior/Pensioner,3627
2019-06,Queens Wharf Light Rail,Sgl Trip LR Adult,97
2019-06,Queens Wharf Light Rail,Sgl Trip LR Child/Youth,61
2019-07,Civic Light Rail,Adult,9679
2019-07,Civic Light Rail,CTP,1045
2019-07,Civic Light Rail,Child/Youth,1247
2019-07,Civic Light Rail,Concession,1200
2019-07,Civic Light Rail,Day Pass without SAF,1
2019-07,Civic Light Rail,Employee,34
2019-07,Civic Light Rail,Free Travel,69
2019-07,Civic Light Rail,School Student,48
2019-07,Civic Light Rail,Senior/Pensioner,2849
2019-07,Civic Light Rail,Sgl Trip LR Adult,64
2019-07,Civic Light Rail,Sgl Trip LR Child/Youth,65
2019-07,Crown Street Light Rail,Adult,3794
2019-07,Crown Street Light Rail,CTP,656
2019-07,Crown Street Light Rail,Child/Youth,530
2019-07,Crown Street Light Rail,Concession,200
2019-07,Crown Street Light Rail,Employee,61
2019-07,Crown Street Light Rail,Free Travel,35
2019-07,Crown Street Light Rail,School Student,35
2019-07,Crown Street Light Rail,Senior/Pensioner,1447
2019-07,Crown Street Light Rail,Sgl Trip LR Adult,43
