from_stop,to_stop,from_name,to_name,from_modes,to_modes,straight_distance_m,walk_distance_m,walk_time_s,is_sheltered,requires_road_crossing,signalised_crossing_delay_s,total_transfer_time_s,in_interchange_group,source
nisc001:2305167,nisc001:2305168,Charlestown Rd at Hurn St,Charlestown Rd opp Carnley Ave,other,other,118.8,148.5,118.8,0,1,22,140.8,0,modelled
nisc001:2305174,nisc001:2305175,Cardiff Rd opp Beverley Cres,Cardiff Rd at Beverley Cres,other,other,38.0,47.5,38.0,0,0,0,38.0,0,modelled
nisc001:2305176,sydneytrains:2289331,Fairfield Ave opp New Lambton South Public School,Adamstown Station Platform 1,other,heavy_rail,267.3,334.1,267.3,0,1,22,289.3,0,modelled
nisc001:2305176,sydneytrains:2289332,Fairfield Ave opp New Lambton South Public School,Adamstown Station Platform 2,other,heavy_rail,258.6,323.2,258.6,0,1,22,280.6,0,modelled
nisc001:2305177,nisc001:230518,St James Rd after Bridges Rd,Bridges Rd before St James Rd,other,other,92.2,115.3,92.2,0,1,22,114.2,0,modelled
nisc001:2305178,nisc001:2305179,"Alder Park Bowling Club, Moonbi St",Moonbi St opp Alder Park Bowling Club,other,other,13.4,16.7,13.4,0,0,0,13.4,0,modelled
nisc001:2305178,nisc001:2305180,"Alder Park Bowling Club, Moonbi St",Bridges Rd opp Alder Park Sports Club,other,other,82.6,103.2,82.6,0,1,22,104.6,0,modelled
nisc001:2305178,nisc001:2305181,"Alder Park Bowling Club, Moonbi St","Alder Park Sports Club, Bridges Rd",other,other,115.6,144.5,115.6,0,1,22,137.6,0,modelled
nisc001:2305179,nisc001:2305180,Moonbi St opp Alder Park Bowling Club,Bridges Rd opp Alder Park Sports Club,other,other,92.3,115.3,92.3,0,1,22,114.3,0,modelled
nisc001:2305179,nisc001:2305181,Moonbi St opp Alder Park Bowling Club,"Alder Park Sports Club, Bridges Rd",other,other,127.8,159.8,127.8,0,1,22,149.8,0,modelled
nisc001:2305180,nisc001:2305181,Bridges Rd opp Alder Park Sports Club,"Alder Park Sports Club, Bridges Rd",other,other,49.2,61.5,49.2,0,0,0,49.2,0,modelled
