stop_id,stop_name,stop_lat,stop_lon,modes_served,n_routes,location_type,parent_station,platform_geom,shelter,seating,real_time_info,step_free,platform_height_mm,interchange_group_id,attribute_source
nisc001:228220,The Esplanade opp Warner Reserve,-32.971639,151.640582,other,4,,,,-1,-1,-1,-1,0,,assumed
nisc001:228221,"Warner Reserve, The Esplanade",-32.971873,151.640735,other,4,,,,-1,-1,-1,-1,0,,assumed
nisc001:228222,The Esplanade opp Seaman Ave,-32.971192,151.6391,other,4,,,,-1,-1,-1,-1,0,,assumed
nisc001:228223,Fairfax Rd after The Esplanade,-32.970019,151.638146,other,2,,,,-1,-1,-1,-1,0,,assumed
nisc001:228224,Fairfax Rd after Vincent St,-32.968685,151.638569,other,7,,,,-1,-1,-1,-1,0,,assumed
nisc001:228225,Medcalf Rd after Vincent St,-32.968243,151.640213,other,9,,,,-1,-1,-1,-1,0,,assumed
nisc001:228226,"Biddabah Public School, Medcalf St",-32.966487,151.643022,other,9,,,,-1,-1,-1,-1,0,,assumed
nisc001:228227,Medcalf St opp Albert St,-32.965856,151.644404,other,9,,,,-1,-1,-1,-1,0,,assumed
nisc001:228228,Ambleside Cct at Derwent Cres,-32.963166,151.646149,other,5,,,,-1,-1,-1,-1,0,,assumed
nisc001:228229,Ambleside Cct after Grasmere Way,-32.960358,151.647226,other,5,,,,-1,-1,-1,-1,0,,assumed
nisc001:228230,Ambleside Cct opp Ulverston Way,-32.961304,151.650751,other,5,,,,-1,-1,-1,-1,0,,assumed
nisc001:228231,Ambleside Cct at Whitehaven Dr,-32.961862,151.652094,other,5,,,,-1,-1,-1,-1,0,,assumed
nisc001:228232,"Lakelands Oval, Ambleside Cct",-32.965445,151.650838,other,5,,,,-1,-1,-1,-1,0,,assumed
nisc001:228233,"Lakelands Tennis Courts, Medcalf St",-32.966439,151.648127,other,11,,,,-1,-1,-1,-1,0,,assumed
nisc001:228234,King St after Hillsborough Rd,-32.967787,151.652215,other,10,,,,-1,-1,-1,-1,0,,assumed
nisc001:228235,"Warners Bay High School, Myles Ave",-32.968711,151.652639,other,7,,,,-1,-1,-1,-1,0,,assumed
nisc001:228236,"Warners Bay High School, Myles Ave",-32.968731,151.652789,other,4,,,,-1,-1,-1,-1,0,,assumed
nisc001:228237,"Warners Bay High School, Myles Ave",-32.968769,151.652981,other,4,,,,-1,-1,-1,-1,0,,assumed
nisc001:228239,"Warners Bay High School, Myles Ave",-32.968951,151.654105,other,3,,,,-1,-1,-1,-1,0,,assumed
nisc001:228240,Myles Ave at Biddabah Ave,-32.969184,151.655646,other,6,,,,-1,-1,-1,-1,0,,assumed
nisc001:228242,Myles Ave opp Vennard St,-32.969615,151.658735,other,6,,,,-1,-1,-1,-1,0,,assumed
nisc001:228243,Vennard St after Myles Ave,-32.971371,151.658469,other,6,,,,-1,-1,-1,-1,0,,assumed
