SA1_CODE_2021,zone_tier,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
10602161611,core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
10602161612,core,4,5,8,5,10,21,3,5,9,4,0,5,13,13,32,11,7,23,0,4,4,0,0,0,17,9,30,0,0,3,0,0,0,0,0,0,0,6,6,0,0,0,0,3,8,0,0,0,0,0,4,0,0,0,0,3,4,0,0,0,3,10,14,6,9,17,0,0,0,0,4,4,0,0,0,0,4,4,17,20,38,59,65,129
10602161613,core,12,0,18,9,15,20,11,3,11,0,0,0,17,21,37,9,15,20,11,3,9,3,0,5,20,21,39,0,3,3,0,0,0,3,0,3,0,8,12,0,0,0,6,6,18,0,0,0,0,0,3,0,0,0,6,9,12,0,0,0,4,8,19,13,16,36,0,0,0,0,0,0,0,0,4,0,7,3,9,11,18,82,69,154
10602161614,core,10,8,12,20,20,39,3,4,5,0,0,0,22,25,44,9,10,21,4,0,5,0,0,0,12,14,23,0,0,0,8,0,8,0,0,7,0,3,3,0,0,0,9,8,17,3,3,8,0,4,6,0,0,3,4,5,4,0,0,0,5,13,18,13,18,36,0,4,4,0,0,0,0,0,0,0,4,3,17,21,37,79,80,158
10602161615,core,10,7,15,12,11,21,13,3,18,0,4,4,29,16,45,7,8,11,4,3,8,5,0,4,18,16,29,4,7,7,4,0,0,6,4,8,6,8,11,0,0,0,11,15,31,0,8,11,0,3,3,0,0,5,4,8,8,0,0,0,9,16,24,21,34,55,0,0,0,3,5,8,0,0,0,5,4,12,35,25,59,111,101,211
10602161616,core,3,4,8,16,16,35,3,3,5,0,0,0,21,21,42,16,6,21,0,0,0,0,0,3,18,5,26,0,0,0,0,4,4,0,0,0,5,4,6,0,0,0,5,7,11,0,0,0,0,0,0,0,0,0,4,4,5,0,0,0,0,9,7,3,11,18,0,0,0,0,0,0,0,0,0,0,0,0,9,9,14,56,49,111
10602161617,core,12,14,29,14,11,22,3,21,21,3,0,3,24,26,50,15,9,22,7,7,12,0,0,0,22,17,39,4,0,3,0,3,3,4,0,3,0,5,9,0,0,0,13,10,24,6,7,9,0,5,3,0,0,0,0,0,5,0,0,0,4,13,20,16,22,38,0,0,0,0,3,6,0,0,0,0,3,6,6,4,12,85,91,178
10602161618,core,5,0,7,9,14,28,4,6,7,0,0,0,20,19,35,6,7,14,0,4,6,0,0,0,10,15,22,0,0,0,6,0,0,8,0,5,0,9,6,0,0,0,8,7,18,0,4,3,0,0,3,0,0,0,4,3,10,0,0,0,10,9,15,18,16,37,0,0,0,0,5,5,0,0,0,0,5,5,6,3,18,61,57,119
10602161619,core,14,10,25,23,21,42,11,8,13,0,4,4,34,22,57,12,17,34,8,5,14,0,4,3,18,25,42,0,0,0,0,3,7,0,7,4,3,10,10,0,0,0,3,17,21,0,6,9,3,3,5,0,0,0,8,9,11,0,0,0,8,20,29,12,35,54,0,0,0,0,3,3,0,0,0,0,3,3,14,13,28,96,118,210
10602161620,core,5,0,5,0,4,8,5,0,9,0,0,7,8,13,18,0,0,3,0,5,3,5,0,6,5,4,12,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,7,6,10,0,0,0,0,0,0,0,0,0,0,0,0,3,5,7,30,27,60
