SA1_CODE_2021,zone_tier,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
10602161428,core,..,12,12,19,0,19,13,0,13,27,0,27,5,0,5,3,0,3,78,17,92
10602161429,core,..,26,26,85,0,84,35,0,42,37,0,37,20,0,20,4,0,4,186,31,213
10602161430,core,..,8,8,23,3,27,10,0,11,12,0,12,10,0,10,0,0,0,62,12,73
10602161431,core,..,13,13,43,3,51,26,0,26,14,0,14,15,0,15,7,0,7,103,13,116
10602161432,core,..,67,67,64,8,67,24,3,23,22,0,22,4,0,4,5,0,5,110,76,188
10602161433,core,..,48,48,51,7,52,20,0,21,23,0,25,9,0,9,3,0,3,108,57,165
10602161434,core,..,16,16,45,0,48,30,0,27,41,0,41,21,0,21,3,0,3,133,19,148
10602161435,core,..,63,63,40,6,50,20,0,20,13,0,13,5,0,5,0,0,0,80,73,160
10602161436,core,..,17,17,24,4,30,8,0,5,10,0,10,9,0,9,3,0,3,49,19,69
10602161437,core,..,13,13,25,0,21,13,0,15,15,0,15,3,0,3,3,0,3,57,13,74
10602161438,core,..,22,22,48,3,51,17,0,17,16,0,16,7,0,7,4,0,4,85,23,110
10602161439,core,..,129,129,70,8,81,25,0,24,18,0,18,5,0,5,0,0,0,128,141,264
10602161440,core,..,69,69,25,5,30,8,0,8,8,0,8,0,0,0,3,0,3,39,75,113
10602161441,core,..,34,34,35,0,36,19,0,21,20,0,20,14,0,14,4,0,4,95,41,134
10602161442,core,..,71,71,60,5,64,17,0,17,16,0,16,4,0,4,4,0,4,94,69,165
10602161443,core,..,18,18,55,0,55,19,0,16,13,0,13,0,0,0,0,0,0,91,20,111
10602161444,core,..,6,6,24,5,27,22,0,22,20,0,20,9,0,9,3,0,3,76,10,85
10602161445,core,..,31,31,53,0,60,28,0,33,23,0,23,8,0,8,5,0,5,123,31,152
10602161446,core,..,19,19,32,0,31,27,0,27,22,0,22,12,0,12,4,0,4,102,18,123
10602161447,core,..,7,7,39,0,43,15,0,15,14,0,14,10,0,10,4,0,4,84,8,96
10602161448,core,..,30,30,37,0,34,26,0,26,32,0,32,15,0,15,9,0,9,119,28,142
10602161449,core,..,69,69,58,14,70,40,0,40,24,0,24,8,0,8,9,0,9,138,81,216
10602161501,core,..,29,29,53,3,61,31,0,31,34,0,34,15,0,16,16,0,16,144,34,177
10602161502,core,..,8,8,23,0,24,12,0,12,13,0,13,6,0,6,0,0,0,50,6,61
10602161503,core,..,17,17,41,0,50,20,0,23,39,0,39,12,0,12,6,0,6,123,20,145
10602161504,core,..,36,36,51,9,55,35,0,35,25,0,25,12,0,12,3,0,3,126,43,168
10602161505,core,..,71,71,17,4,22,13,0,13,9,0,9,0,0,0,5,0,5,51,74,119
10602161506,core,..,9,9,76,0,79,44,0,44,64,0,64,33,0,33,14,0,14,234,13,249
10602161507,core,..,28,28,77,4,81,47,0,47,60,0,60,27,0,27,10,0,10,214,37,251
10602161508,core,..,25,25,21,3,24,17,6,21,24,0,24,22,0,23,10,0,10,88,26,121
10602161509,core,..,57,57,45,7,51,33,0,33,35,0,35,12,0,12,3,0,3,126,64,191
10602161510,core,..,77,77,55,8,58,37,0,37,27,0,28,6,0,12,0,0,0,126,89,212
10602161511,core,..,9,9,31,0,29,22,0,22,20,0,20,14,0,14,5,0,5,96,13,110
10602161512,core,..,94,94,64,4,70,35,3,42,19,0,19,12,0,12,3,0,3,135,101,236
10602161513,core,..,23,23,63,3,62,25,0,25,24,0,26,20,0,20,4,0,4,136,27,162
10602161514,core,..,8,8,27,4,35,20,0,20,29,0,29,10,0,10,4,0,4,88,9,99
10602161515,core,..,28,28,32,5,35,15,0,15,8,0,8,6,0,6,0,0,0,64,35,98
