edge_id,osm_way_id,name,road_class,length_m,corridor_class,is_corridor_trunk,dist_to_alignment_m,oneway_flag,oneway_source,num_lanes_per_dir,num_lanes_source,speed_limit_kmh,speed_limit_source,lane_width_m,lane_width_source,turn_lanes,turn_lanes_source,kerbside_use,kerbside_source,capacity_veh_hr_lane,capacity_source,dist_to_S2c_m,dist_to_S4_m,dist_to_S5_m,dist_to_base2026_m,scenario_variant_ref
w902498614,902498614,Telford Street,residential,8.2,corridor_cross,0,32.7,0,imputed_rule,1.0,imputed_rule,40.0,osm,3.2,imputed_rule,,absent,clearway,osm,800,imputed_rule,32.7,69.9,69.9,32.7,base2026
w700246998,700246998,Burwood Street,residential,115.6,corridor_cross,0,32.9,0,imputed_rule,1.0,imputed_rule,50.0,imputed_rule,3.2,imputed_rule,,absent,unknown,imputed_rule,800,imputed_rule,32.9,32.7,32.7,32.9,base2026
w532949916,532949916,Stewart Avenue,trunk,58.8,corridor_trunk:S4;corridor_trunk:S5;corridor_cross,1,33.0,1,osm,2.0,imputed_rule,60.0,osm,3.2,imputed_rule,,absent,unknown,imputed_rule,1800,imputed_rule,33.0,30.0,30.0,33.0,base2026
w902502656,902502656,Scott Street,tertiary,9.5,corridor_trunk:base2026;corridor_trunk:S2c,1,33.0,0,imputed_rule,1.0,imputed_rule,40.0,osm,3.2,imputed_rule,,absent,clearway,osm,1200,imputed_rule,33.0,85.3,85.3,33.0,base2026
w243102627,243102627,,service,21.8,corridor_cross,0,33.4,1,osm,1.0,imputed_rule,20.0,imputed_rule,3.2,imputed_rule,,absent,unknown,imputed_rule,400,imputed_rule,33.4,43.0,43.0,33.4,base2026
w243102644,243102644,,service,47.7,corridor_cross,0,33.4,1,osm,1.0,imputed_rule,20.0,imputed_rule,3.2,imputed_rule,,absent,unknown,imputed_rule,400,imputed_rule,33.4,43.0,43.0,33.4,base2026
w1413391460,1413391460,Watt Street,secondary,10.9,corridor_trunk:S4;corridor_trunk:S5;corridor_cross,1,34.2,0,imputed_rule,1.0,osm,40.0,osm,3.2,imputed_rule,,absent,unknown,imputed_rule,1400,imputed_rule,34.2,37.0,37.0,34.2,base2026
w243102653,243102653,Market Street,service,70.0,corridor_cross,0,35.4,1,osm,1.0,imputed_rule,20.0,imputed_rule,3.2,imputed_rule,,absent,unknown,imputed_rule,400,imputed_rule,35.4,27.1,27.1,35.4,base2026
w327695145,327695145,,service,50.8,corridor_cross,0,38.5,1,osm,1.0,imputed_rule,20.0,imputed_rule,3.2,imputed_rule,,absent,unknown,imputed_rule,400,imputed_rule,38.5,53.5,53.5,38.5,base2026
w327695150,327695150,,service,7.0,corridor_cross,0,38.5,0,imputed_rule,1.0,imputed_rule,20.0,imputed_rule,3.2,imputed_rule,,absent,unknown,imputed_rule,400,imputed_rule,38.5,53.5,53.5,38.5,base2026
