geography,source_file,FINANCIAL_YEAR,HH_LGA_ID,area_name,TRAVEL_PURPOSE,JOURNEYS_BY_MODE,PCT_OF_TOTAL_JOURNEYS,DISTANCE_BY_PURPOSE,PCT_OF_TOTAL_DISTANCE,JOURNEY_AVG_DISTANCE,JOURNEY_AVG_TIME,HH_SA3_ID
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2023/24,5900.0,Newcastle,Education/childcare,37000,6.8,115000,2.3,3.1,12.6,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2023/24,5900.0,Newcastle,Other*,9000,1.6,81000,1.7,9.5,15.2,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2023/24,5900.0,Newcastle,Personal business,53000,9.8,392000,8.0,7.4,16.3,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2023/24,5900.0,Newcastle,Serve passenger,90000,16.8,535000,10.9,5.9,13.2,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2023/24,5900.0,Newcastle,Shopping,78000,14.6,463000,9.4,5.9,13.9,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2023/24,5900.0,Newcastle,Social/recreation,178000,33.1,2011000,41.0,11.3,20.4,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2023/24,5900.0,Newcastle,Work related business*,21000,3.9,338000,6.9,16.1,23.2,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2023/24,6400.0,Port Stephens,Commute,31000,13.6,637000,22.7,20.4,27.2,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2023/24,6400.0,Port Stephens,Education/childcare*,26000,11.4,373000,13.3,14.2,24.5,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2023/24,6400.0,Port Stephens,Other**,1000,0.3,8000,0.3,11.1,14.1,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2023/24,6400.0,Port Stephens,Personal business,28000,12.4,319000,11.4,11.2,18.2,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2023/24,6400.0,Port Stephens,Serve passenger*,37000,16.2,359000,12.8,9.7,15.4,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2023/24,6400.0,Port Stephens,Shopping,40000,17.3,343000,12.2,8.6,13.6,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2023/24,6400.0,Port Stephens,Social/recreation,56000,24.6,456000,16.2,8.1,14.7,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2023/24,6400.0,Port Stephens,Work related business*,10000,4.2,311000,11.1,32.2,37.9,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,1720.0,Cessnock,Commute*,21000,12.0,500000,24.6,24.0,25.6,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,1720.0,Cessnock,Education/childcare*,22000,12.7,190000,9.3,8.6,14.7,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,1720.0,Cessnock,Other**,1000,0.7,1000,0.1,1.1,6.8,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,1720.0,Cessnock,Personal business*,18000,10.6,157000,7.7,8.5,15.9,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,1720.0,Cessnock,Serve passenger*,41000,23.8,384000,18.9,9.3,14.3,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,1720.0,Cessnock,Shopping,38000,21.7,473000,23.3,12.5,17.7,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,1720.0,Cessnock,Social/recreation*,27000,15.6,264000,13.0,9.7,17.5,
