parking_facility_id,lat,lon,type,osm_parking,capacity_spaces,capacity_source,fee,charge,max_stay_min,access,operator,surface,levels,name,scenario_variant_ref
pw929987182,-32.8951985,151.7114789,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987183,-32.8951853,151.7114586,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987184,-32.8951721,151.7114384,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987185,-32.8951589,151.7114182,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987186,-32.8951457,151.7113979,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987187,-32.8951325,151.7113777,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987188,-32.8953556,151.7116256,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987189,-32.8953424,151.7116054,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987190,-32.8953292,151.7115852,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987191,-32.895316,151.7115649,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987192,-32.8953028,151.7115447,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987193,-32.8952896,151.7115244,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987194,-32.8952632,151.711484,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987195,-32.89525,151.7114637,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987196,-32.8952368,151.7114435,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987197,-32.8952236,151.7114232,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987198,-32.8952104,151.711403,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987199,-32.8951972,151.7113828,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987200,-32.8953129,151.7119564,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987201,-32.8952998,151.711936,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987202,-32.8952867,151.7119156,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987203,-32.8952736,151.7118952,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987204,-32.8952605,151.7118748,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987205,-32.8952474,151.7118544,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987206,-32.8952343,151.711834,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987207,-32.8952212,151.7118136,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987208,-32.8952081,151.7117932,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987209,-32.895195,151.7117728,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987210,-32.8951819,151.7117524,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987211,-32.8951688,151.711732,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987212,-32.8951557,151.7117116,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987213,-32.8951426,151.7116912,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987214,-32.8951295,151.7116708,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987215,-32.8951033,151.71163,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987216,-32.8950902,151.7116096,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987217,-32.8950771,151.7115892,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987218,-32.895064,151.7115688,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987219,-32.8950509,151.7115484,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987220,-32.8950378,151.711528,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987221,-32.8950247,151.7115076,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987222,-32.8950116,151.7114872,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987223,-32.8949985,151.7114668,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987224,-32.8949854,151.7114464,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987225,-32.8949723,151.711426,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987226,-32.8949592,151.7114056,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987227,-32.8949461,151.7113852,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987228,-32.894933,151.7113648,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987229,-32.8949199,151.7113444,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987230,-32.8953377,151.7119015,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987231,-32.8953246,151.7118811,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987232,-32.8953115,151.7118607,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987233,-32.8952984,151.7118403,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987234,-32.8952853,151.7118199,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987235,-32.8952722,151.7117995,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987236,-32.8952591,151.7117791,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987237,-32.895246,151.7117587,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987238,-32.8952329,151.7117383,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987239,-32.8952198,151.7117179,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987240,-32.8952067,151.7116975,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987241,-32.8951936,151.7116771,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987242,-32.8951805,151.7116567,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987243,-32.8951674,151.7116363,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987244,-32.8951412,151.7115955,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987245,-32.8951281,151.7115751,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987246,-32.895115,151.7115547,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987247,-32.8951019,151.7115343,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987248,-32.8950888,151.7115139,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987249,-32.8950757,151.7114935,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987250,-32.8950626,151.7114731,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987251,-32.8950495,151.7114527,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987252,-32.8950364,151.7114323,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987253,-32.8950233,151.7114119,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987254,-32.8950102,151.7113915,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987255,-32.8949971,151.7113711,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987256,-32.894984,151.7113508,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987257,-32.8949709,151.7113304,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987258,-32.8952461,151.7121545,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987259,-32.8952331,151.7121339,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987260,-32.89522,151.7121134,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987261,-32.895207,151.7120929,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987262,-32.8951939,151.7120723,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987263,-32.8951809,151.7120518,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987264,-32.8951678,151.7120313,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987265,-32.8951548,151.7120108,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987266,-32.8951417,151.7119902,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987267,-32.8951287,151.7119697,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987268,-32.8951157,151.7119492,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987269,-32.8951026,151.7119286,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987270,-32.8950896,151.7119081,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987271,-32.8950765,151.7118876,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987272,-32.8950635,151.711867,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987273,-32.8950504,151.7118465,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987274,-32.8950374,151.711826,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987275,-32.8950243,151.7118055,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987276,-32.8950113,151.7117849,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987277,-32.8949852,151.7117439,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987278,-32.8949721,151.7117233,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987279,-32.8949591,151.7117028,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987280,-32.894946,151.7116823,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987281,-32.894933,151.7116617,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987282,-32.89492,151.7116412,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987283,-32.8949069,151.7116207,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987284,-32.8948939,151.7116002,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987285,-32.8948808,151.7115796,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987286,-32.8948678,151.7115591,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987287,-32.8948547,151.7115386,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987288,-32.8948417,151.711518,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987289,-32.8948286,151.7114975,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987290,-32.8948156,151.711477,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987291,-32.8948025,151.7114565,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987292,-32.8947895,151.7114359,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987293,-32.8947764,151.7114154,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987294,-32.8948146,151.711381,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987295,-32.8948276,151.7114015,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987296,-32.8948407,151.7114221,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987297,-32.8948537,151.7114426,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987298,-32.8948668,151.7114631,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987299,-32.8948798,151.7114837,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987300,-32.8948929,151.7115042,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987301,-32.8949059,151.7115247,offstreet_public,,1,osm,,,,,,,,,base2026
