node_id,lat,lon,direction,signal_type,ped_phase_flag,button_operated,name
1835780610,-32.9948804,151.6875046,forward,signal,-1,,
6457021815,-32.9996851,151.6855991,forward,signal,-1,,
10011283724,-32.996557,151.686711,forward,signal,-1,,
10011283725,-32.9967927,151.6864536,forward,signal,-1,,
10011283731,-32.9965887,151.6864136,forward,signal,-1,,
10011289499,-32.9949505,151.687877,forward,signal,-1,,
10011289512,-32.9946123,151.6874887,forward,signal,-1,,
10011289515,-32.9946842,151.6878658,forward,,-1,,
12550934258,-32.9995486,151.6854524,backward,signal,-1,,
12550934259,-32.9993678,151.6856991,forward,signal,-1,,
12550934260,-32.9993691,151.6857851,forward,signal,-1,,
8731047231,-32.9924121,151.6828258,backward,,1,,
8733282064,-32.9923652,151.6826277,forward,,1,,
8733282067,-32.9925922,151.6825208,forward,,1,,
8733282069,-32.9926216,151.68268,forward,,1,,
7710023484,-32.9932243,151.6889888,forward,,-1,,
7710028785,-32.9931626,151.688733,forward,,-1,,
11989946647,-32.9923286,151.6886701,forward,,-1,,
12532806787,-32.9919952,151.6888286,forward,signal,-1,,
12532806788,-32.9922332,151.6890035,forward,signal,-1,,
12532806789,-32.9921256,151.6885435,forward,signal,-1,,
11370497863,-32.9885389,151.6912349,forward,signal,-1,,
11370497864,-32.9886556,151.6913468,backward,signal,-1,,
11370497866,-32.9887214,151.6910805,forward,signal,-1,,
11277006595,-32.9820606,151.6922687,forward,signal,-1,,
11277006596,-32.9819944,151.6925256,backward,signal,-1,,
11277006601,-32.9818541,151.69242,forward,signal,-1,,
11277006607,-32.9819278,151.6921766,forward,signal,-1,,
12829506220,-32.9849596,151.6917388,forward,signal,-1,,
12829506221,-32.9847322,151.6919043,forward,signal,-1,,
12829506222,-32.984877,151.692003,forward,signal,-1,,
11278585533,-32.9788281,151.6919201,forward,signal,-1,,
11278585534,-32.9785501,151.6919653,forward,signal,-1,,
11278585535,-32.9786301,151.6917665,forward,signal,-1,,
11278585536,-32.978682,151.6921406,forward,signal,-1,,
2157256187,-32.9695377,151.6918144,forward,signal,-1,,
2157256194,-32.9696607,151.6920279,forward,signal,-1,,
2157256198,-32.9697951,151.691864,forward,signal,-1,,
11404087768,-32.9680875,151.6946654,forward,signal,-1,,
11404153675,-32.967939,151.6943947,forward,signal,-1,,
11583125664,-32.969756,151.6920945,forward,signal,-1,,
