MonthYear,Station,Station_Type,Entry_Exit,Trip
2025-01-01 00:00:00.000,East Maitland  Station,Train,Entry,446
2025-01-01 00:00:00.000,East Maitland  Station,Train,Exit,488
2025-01-01 00:00:00.000,Fassifern  Station,Train,Entry,7992
2025-01-01 00:00:00.000,Fassifern  Station,Train,Exit,7364
2025-01-01 00:00:00.000,Hamilton  Station,Train,Entry,13362
2025-01-01 00:00:00.000,Hamilton  Station,Train,Exit,13531
2025-01-01 00:00:00.000,Hexham  Station,Train,Entry,156
2025-01-01 00:00:00.000,Hexham  Station,Train,Exit,169
2025-01-01 00:00:00.000,Kotara  Station,Train,Entry,1049
2025-01-01 00:00:00.000,Kotara  Station,Train,Exit,1242
2025-01-01 00:00:00.000,Maitland  Station,Train,Entry,8274
2025-01-01 00:00:00.000,Maitland  Station,Train,Exit,7519
2025-01-01 00:00:00.000,Metford  Station,Train,Entry,1302
2025-01-01 00:00:00.000,Metford  Station,Train,Exit,1185
2025-01-01 00:00:00.000,Morisset  Station,Train,Entry,14004
2025-01-01 00:00:00.000,Morisset  Station,Train,Exit,12924
2025-01-01 00:00:00.000,Newcastle Interchange Light Rail,Light rail,Entry,26184
2025-01-01 00:00:00.000,Newcastle Interchange Light Rail,Light rail,Exit,21908
2025-01-01 00:00:00.000,Newcastle Interchange Station,Train,Entry,40006
2025-01-01 00:00:00.000,Newcastle Interchange Station,Train,Exit,39541
2025-01-01 00:00:00.000,Sandgate  Station,Train,Entry,307
2025-01-01 00:00:00.000,Sandgate  Station,Train,Exit,292
2025-01-01 00:00:00.000,Tarro  Station,Train,Entry,151
2025-01-01 00:00:00.000,Tarro  Station,Train,Exit,105
2025-01-01 00:00:00.000,Teralba  Station,Train,Entry,832
2025-01-01 00:00:00.000,Teralba  Station,Train,Exit,708
2025-01-01 00:00:00.000,Thornton  Station,Train,Entry,4669
2025-01-01 00:00:00.000,Thornton  Station,Train,Exit,4369
2025-01-01 00:00:00.000,Victoria Street  Station,Train,Entry,5584
2025-01-01 00:00:00.000,Victoria Street  Station,Train,Exit,5199
2025-01-01 00:00:00.000,Warabrook  Station,Train,Entry,1979
2025-01-01 00:00:00.000,Warabrook  Station,Train,Exit,2039
2025-01-01 00:00:00.000,Waratah  Station,Train,Entry,3344
2025-01-01 00:00:00.000,Waratah  Station,Train,Exit,3217
2025-01-01 00:00:00.000,Waratah Mills Light Rail,Light rail,Entry,4961
2025-01-01 00:00:00.000,Waratah Mills Light Rail,Light rail,Exit,4609
2025-01-01 00:00:00.000,Wyee  Station,Train,Entry,4966
2025-01-01 00:00:00.000,Wyee  Station,Train,Exit,4326
2025-02-01 00:00:00.000,Adamstown  Station,Train,Entry,1955
2025-02-01 00:00:00.000,Adamstown  Station,Train,Exit,2011
2025-02-01 00:00:00.000,Awaba  Station,Train,Entry,472
2025-02-01 00:00:00.000,Awaba  Station,Train,Exit,357
2025-02-01 00:00:00.000,Booragul  Station,Train,Entry,613
2025-02-01 00:00:00.000,Booragul  Station,Train,Exit,561
2025-02-01 00:00:00.000,Broadmeadow  Station,Train,Entry,18008
2025-02-01 00:00:00.000,Broadmeadow  Station,Train,Exit,16135
2025-02-01 00:00:00.000,Cardiff  Station,Train,Entry,17448
2025-02-01 00:00:00.000,Cardiff  Station,Train,Exit,16375
2025-02-01 00:00:00.000,Cockle Creek  Station,Train,Entry,991
2025-02-01 00:00:00.000,Cockle Creek  Station,Train,Exit,1079
2025-02-01 00:00:00.000,Dora Creek  Station,Train,Entry,878
2025-02-01 00:00:00.000,Dora Creek  Station,Train,Exit,785
2025-02-01 00:00:00.000,East Maitland  Station,Train,Entry,660
2025-02-01 00:00:00.000,East Maitland  Station,Train,Exit,566
2025-02-01 00:00:00.000,Fassifern  Station,Train,Entry,8072
2025-02-01 00:00:00.000,Fassifern  Station,Train,Exit,7286
2025-02-01 00:00:00.000,Hamilton  Station,Train,Entry,14628
2025-02-01 00:00:00.000,Hamilton  Station,Train,Exit,14832
2025-02-01 00:00:00.000,Hexham  Station,Train,Entry,210
2025-02-01 00:00:00.000,Hexham  Station,Train,Exit,227
2025-02-01 00:00:00.000,Kotara  Station,Train,Entry,1147
2025-02-01 00:00:00.000,Kotara  Station,Train,Exit,1403
2025-02-01 00:00:00.000,Maitland  Station,Train,Entry,9106
2025-02-01 00:00:00.000,Maitland  Station,Train,Exit,8285
2025-02-01 00:00:00.000,Metford  Station,Train,Entry,1483
2025-02-01 00:00:00.000,Metford  Station,Train,Exit,1430
2025-02-01 00:00:00.000,Morisset  Station,Train,Entry,14276
2025-02-01 00:00:00.000,Morisset  Station,Train,Exit,12938
2025-02-01 00:00:00.000,Newcastle Interchange Light Rail,Light rail,Entry,26989
2025-02-01 00:00:00.000,Newcastle Interchange Light Rail,Light rail,Exit,21928
2025-02-01 00:00:00.000,Newcastle Interchange Station,Train,Entry,40502
2025-02-01 00:00:00.000,Newcastle Interchange Station,Train,Exit,40961
2025-02-01 00:00:00.000,Sandgate  Station,Train,Entry,369
2025-02-01 00:00:00.000,Sandgate  Station,Train,Exit,309
2025-02-01 00:00:00.000,Tarro  Station,Train,Entry,145
2025-02-01 00:00:00.000,Tarro  Station,Train,Exit,119
2025-02-01 00:00:00.000,Teralba  Station,Train,Entry,997
2025-02-01 00:00:00.000,Teralba  Station,Train,Exit,924
2025-02-01 00:00:00.000,Thornton  Station,Train,Entry,5592
2025-02-01 00:00:00.000,Thornton  Station,Train,Exit,5071
2025-02-01 00:00:00.000,Victoria Street  Station,Train,Entry,6584
2025-02-01 00:00:00.000,Victoria Street  Station,Train,Exit,6140
2025-02-01 00:00:00.000,Warabrook  Station,Train,Entry,5287
2025-02-01 00:00:00.000,Warabrook  Station,Train,Exit,5043
2025-02-01 00:00:00.000,Waratah  Station,Train,Entry,3785
2025-02-01 00:00:00.000,Waratah  Station,Train,Exit,3718
2025-02-01 00:00:00.000,Waratah Mills Light Rail,Light rail,Entry,5151
2025-02-01 00:00:00.000,Waratah Mills Light Rail,Light rail,Exit,4663
2025-02-01 00:00:00.000,Wyee  Station,Train,Entry,4867
2025-02-01 00:00:00.000,Wyee  Station,Train,Exit,4119
2025-03-01 00:00:00.000,Adamstown  Station,Train,Entry,2598
2025-03-01 00:00:00.000,Adamstown  Station,Train,Exit,2603
2025-03-01 00:00:00.000,Awaba  Station,Train,Entry,588
2025-03-01 00:00:00.000,Awaba  Station,Train,Exit,493
2025-03-01 00:00:00.000,Booragul  Station,Train,Entry,710
2025-03-01 00:00:00.000,Booragul  Station,Train,Exit,711
2025-03-01 00:00:00.000,Broadmeadow  Station,Train,Entry,23334
2025-03-01 00:00:00.000,Broadmeadow  Station,Train,Exit,21695
2025-03-01 00:00:00.000,Cardiff  Station,Train,Entry,23306
2025-03-01 00:00:00.000,Cardiff  Station,Train,Exit,21662
2025-03-01 00:00:00.000,Cockle Creek  Station,Train,Entry,1279
2025-03-01 00:00:00.000,Cockle Creek  Station,Train,Exit,1447
2025-03-01 00:00:00.000,Dora Creek  Station,Train,Entry,1090
2025-03-01 00:00:00.000,Dora Creek  Station,Train,Exit,970
2025-03-01 00:00:00.000,East Maitland  Station,Train,Entry,774
2025-03-01 00:00:00.000,East Maitland  Station,Train,Exit,691
2025-03-01 00:00:00.000,Fassifern  Station,Train,Entry,10314
2025-03-01 00:00:00.000,Fassifern  Station,Train,Exit,9360
2025-03-01 00:00:00.000,Hamilton  Station,Train,Entry,18146
2025-03-01 00:00:00.000,Hamilton  Station,Train,Exit,18170
2025-03-01 00:00:00.000,Hexham  Station,Train,Entry,211
2025-03-01 00:00:00.000,Hexham  Station,Train,Exit,219
2025-03-01 00:00:00.000,Kotara  Station,Train,Entry,1545
2025-03-01 00:00:00.000,Kotara  Station,Train,Exit,1775
2025-03-01 00:00:00.000,Maitland  Station,Train,Entry,11211
2025-03-01 00:00:00.000,Maitland  Station,Train,Exit,10269
2025-03-01 00:00:00.000,Metford  Station,Train,Entry,1800
2025-03-01 00:00:00.000,Metford  Station,Train,Exit,1754
2025-03-01 00:00:00.000,Morisset  Station,Train,Entry,18146
2025-03-01 00:00:00.000,Morisset  Station,Train,Exit,16360
2025-03-01 00:00:00.000,Newcastle Interchange Light Rail,Light rail,Entry,31680
2025-03-01 00:00:00.000,Newcastle Interchange Light Rail,Light rail,Exit,25651
2025-03-01 00:00:00.000,Newcastle Interchange Station,Train,Entry,50076
2025-03-01 00:00:00.000,Newcastle Interchange Station,Train,Exit,49388
2025-03-01 00:00:00.000,Sandgate  Station,Train,Entry,388
2025-03-01 00:00:00.000,Sandgate  Station,Train,Exit,390
2025-03-01 00:00:00.000,Tarro  Station,Train,Entry,155
2025-03-01 00:00:00.000,Tarro  Station,Train,Exit,131
2025-03-01 00:00:00.000,Teralba  Station,Train,Entry,1281
2025-03-01 00:00:00.000,Teralba  Station,Train,Exit,1216
2025-03-01 00:00:00.000,Thornton  Station,Train,Entry,6981
2025-03-01 00:00:00.000,Thornton  Station,Train,Exit,6313
2025-03-01 00:00:00.000,Victoria Street  Station,Train,Entry,8207
2025-03-01 00:00:00.000,Victoria Street  Station,Train,Exit,7697
2025-03-01 00:00:00.000,Warabrook  Station,Train,Entry,8863
2025-03-01 00:00:00.000,Warabrook  Station,Train,Exit,9183
2025-03-01 00:00:00.000,Waratah  Station,Train,Entry,4478
2025-03-01 00:00:00.000,Waratah  Station,Train,Exit,4205
2025-03-01 00:00:00.000,Waratah Mills Light Rail,Light rail,Entry,5533
2025-03-01 00:00:00.000,Waratah Mills Light Rail,Light rail,Exit,4861
2025-03-01 00:00:00.000,Wyee  Station,Train,Entry,6445
2025-03-01 00:00:00.000,Wyee  Station,Train,Exit,5611
2025-04-01 00:00:00.000,Adamstown  Station,Train,Entry,2217
2025-04-01 00:00:00.000,Adamstown  Station,Train,Exit,2147
2025-04-01 00:00:00.000,Awaba  Station,Train,Entry,503
2025-04-01 00:00:00.000,Awaba  Station,Train,Exit,445
2025-04-01 00:00:00.000,Booragul  Station,Train,Entry,690
2025-04-01 00:00:00.000,Booragul  Station,Train,Exit,602
2025-04-01 00:00:00.000,Broadmeadow  Station,Train,Entry,21351
2025-04-01 00:00:00.000,Broadmeadow  Station,Train,Exit,19674
2025-04-01 00:00:00.000,Cardiff  Station,Train,Entry,21314
2025-04-01 00:00:00.000,Cardiff  Station,Train,Exit,19536
2025-04-01 00:00:00.000,Cockle Creek  Station,Train,Entry,1062
2025-04-01 00:00:00.000,Cockle Creek  Station,Train,Exit,1112
2025-04-01 00:00:00.000,Dora Creek  Station,Train,Entry,887
2025-04-01 00:00:00.000,Dora Creek  Station,Train,Exit,821
2025-04-01 00:00:00.000,East Maitland  Station,Train,Entry,865
2025-04-01 00:00:00.000,East Maitland  Station,Train,Exit,675
2025-04-01 00:00:00.000,Fassifern  Station,Train,Entry,10595
2025-04-01 00:00:00.000,Fassifern  Station,Train,Exit,9768
2025-04-01 00:00:00.000,Hamilton  Station,Train,Entry,15320
2025-04-01 00:00:00.000,Hamilton  Station,Train,Exit,15370
2025-04-01 00:00:00.000,Hexham  Station,Train,Entry,161
2025-04-01 00:00:00.000,Hexham  Station,Train,Exit,172
2025-04-01 00:00:00.000,Kotara  Station,Train,Entry,1323
2025-04-01 00:00:00.000,Kotara  Station,Train,Exit,1453
2025-04-01 00:00:00.000,Maitland  Station,Train,Entry,9469
2025-04-01 00:00:00.000,Maitland  Station,Train,Exit,9138
2025-04-01 00:00:00.000,Metford  Station,Train,Entry,1484
2025-04-01 00:00:00.000,Metford  Station,Train,Exit,1349
2025-04-01 00:00:00.000,Morisset  Station,Train,Entry,17584
2025-04-01 00:00:00.000,Morisset  Station,Train,Exit,15604
2025-04-01 00:00:00.000,Newcastle Interchange Light Rail,Light rail,Entry,30371
2025-04-01 00:00:00.000,Newcastle Interchange Light Rail,Light rail,Exit,24953
2025-04-01 00:00:00.000,Newcastle Interchange Station,Train,Entry,43870
2025-04-01 00:00:00.000,Newcastle Interchange Station,Train,Exit,43568
2025-04-01 00:00:00.000,Sandgate  Station,Train,Entry,319
2025-04-01 00:00:00.000,Sandgate  Station,Train,Exit,316
2025-04-01 00:00:00.000,Tarro  Station,Train,Entry,102
2025-04-01 00:00:00.000,Tarro  Station,Train,Exit,93
2025-04-01 00:00:00.000,Teralba  Station,Train,Entry,1097
2025-04-01 00:00:00.000,Teralba  Station,Train,Exit,995
2025-04-01 00:00:00.000,Thornton  Station,Train,Entry,5583
2025-04-01 00:00:00.000,Thornton  Station,Train,Exit,4896
2025-04-01 00:00:00.000,Victoria Street  Station,Train,Entry,6368
2025-04-01 00:00:00.000,Victoria Street  Station,Train,Exit,5856
2025-04-01 00:00:00.000,Warabrook  Station,Train,Entry,4845
2025-04-01 00:00:00.000,Warabrook  Station,Train,Exit,4862
2025-04-01 00:00:00.000,Waratah  Station,Train,Entry,3761
2025-04-01 00:00:00.000,Waratah  Station,Train,Exit,3495
2025-04-01 00:00:00.000,Waratah Mills Light Rail,Light rail,Entry,5056
2025-04-01 00:00:00.000,Waratah Mills Light Rail,Light rail,Exit,4649
2025-04-01 00:00:00.000,Wyee  Station,Train,Entry,5937
2025-04-01 00:00:00.000,Wyee  Station,Train,Exit,5057
2025-05-01 00:00:00.000,Adamstown  Station,Train,Entry,1850
2025-05-01 00:00:00.000,Adamstown  Station,Train,Exit,1741
2025-05-01 00:00:00.000,Awaba  Station,Train,Entry,435
2025-05-01 00:00:00.000,Awaba  Station,Train,Exit,366
2025-05-01 00:00:00.000,Booragul  Station,Train,Entry,568
2025-05-01 00:00:00.000,Booragul  Station,Train,Exit,551
2025-05-01 00:00:00.000,Broadmeadow  Station,Train,Entry,17888
2025-05-01 00:00:00.000,Broadmeadow  Station,Train,Exit,16042
2025-05-01 00:00:00.000,Cardiff  Station,Train,Entry,16995
2025-05-01 00:00:00.000,Cardiff  Station,Train,Exit,15197
2025-05-01 00:00:00.000,Cockle Creek  Station,Train,Entry,905
2025-05-01 00:00:00.000,Cockle Creek  Station,Train,Exit,1021
2025-05-01 00:00:00.000,Dora Creek  Station,Train,Entry,827
2025-05-01 00:00:00.000,Dora Creek  Station,Train,Exit,778
2025-05-01 00:00:00.000,East Maitland  Station,Train,Entry,590
2025-05-01 00:00:00.000,East Maitland  Station,Train,Exit,476
2025-05-01 00:00:00.000,Fassifern  Station,Train,Entry,11095
2025-05-01 00:00:00.000,Fassifern  Station,Train,Exit,9943
2025-05-01 00:00:00.000,Hamilton  Station,Train,Entry,12336
2025-05-01 00:00:00.000,Hamilton  Station,Train,Exit,12146
2025-05-01 00:00:00.000,Hexham  Station,Train,Entry,90
2025-05-01 00:00:00.000,Hexham  Station,Train,Exit,100
2025-05-01 00:00:00.000,Kotara  Station,Train,Entry,1014
2025-05-01 00:00:00.000,Kotara  Station,Train,Exit,1167
2025-05-01 00:00:00.000,Maitland  Station,Train,Entry,6669
2025-05-01 00:00:00.000,Maitland  Station,Train,Exit,6137
2025-05-01 00:00:00.000,Metford  Station,Train,Entry,1122
2025-05-01 00:00:00.000,Metford  Station,Train,Exit,1030
2025-05-01 00:00:00.000,Morisset  Station,Train,Entry,16299
2025-05-01 00:00:00.000,Morisset  Station,Train,Exit,14712
2025-05-01 00:00:00.000,Newcastle Interchange Light Rail,Light rail,Entry,23784
2025-05-01 00:00:00.000,Newcastle Interchange Light Rail,Light rail,Exit,19852
2025-05-01 00:00:00.000,Newcastle Interchange Station,Train,Entry,33189
2025-05-01 00:00:00.000,Newcastle Interchange Station,Train,Exit,32970
2025-05-01 00:00:00.000,Sandgate  Station,Train,Entry,232
2025-05-01 00:00:00.000,Sandgate  Station,Train,Exit,201
2025-05-01 00:00:00.000,Tarro  Station,Train,Entry,72
2025-05-01 00:00:00.000,Tarro  Station,Train,Exit,60
2025-05-01 00:00:00.000,Teralba  Station,Train,Entry,911
2025-05-01 00:00:00.000,Teralba  Station,Train,Exit,816
2025-05-01 00:00:00.000,Thornton  Station,Train,Entry,4301
2025-05-01 00:00:00.000,Thornton  Station,Train,Exit,3911
2025-05-01 00:00:00.000,Victoria Street  Station,Train,Entry,5157
