SA1_CODE21,zone_tier,lga_name,lga_code
11101120712,core,Lake Macquarie,14650
11101120713,core,Lake Macquarie,14650
11101120714,core,Lake Macquarie,14650
11101120715,core,Lake Macquarie,14650
11101120716,core,Lake Macquarie,14650
11101120801,core,Lake Macquarie,14650
11101120802,core,Lake Macquarie,14650
11101120803,core,Lake Macquarie,14650
11101120804,core,Lake Macquarie,14650
11101120806,core,Lake Macquarie,14650
11101120807,core,Lake Macquarie,14650
11101120808,core,Lake Macquarie,14650
11101120809,core,Lake Macquarie,14650
11101120810,core,Lake Macquarie,14650
11101120811,core,Lake Macquarie,14650
11101120812,core,Lake Macquarie,14650
11101120813,core,Lake Macquarie,14650
11101120814,core,Lake Macquarie,14650
11101120815,core,Lake Macquarie,14650
11101120816,core,Lake Macquarie,14650
11101120817,core,Lake Macquarie,14650
11101120818,core,Lake Macquarie,14650
11101120819,core,Lake Macquarie,14650
11101120820,core,Lake Macquarie,14650
11101120821,core,Lake Macquarie,14650
11101120822,core,Lake Macquarie,14650
11101120823,core,Lake Macquarie,14650
11101120824,core,Lake Macquarie,14650
11101120825,core,Lake Macquarie,14650
11101120826,core,Lake Macquarie,14650
11101120827,core,Lake Macquarie,14650
11101120828,core,Lake Macquarie,14650
11101120829,core,Lake Macquarie,14650
