SA1_CODE21,CHG_FLAG21,CHG_LBL21,SA2_CODE21,SA2_NAME21,SA3_CODE21,SA3_NAME21,SA4_CODE21,SA4_NAME21,GCC_CODE21,GCC_NAME21,STE_CODE21,STE_NAME21,AUS_CODE21,AUS_NAME21,AREASQKM21,LOCI_URI21,area_km2,x_mga56,y_mga56,lon,lat,zone_tier,zone_id
10601110850,0,No change,106011108,Cessnock,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,0.2207,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110850,0.2207,343880.8,6364267.5,151.331713,-32.8485688,core,10601110850
10601110852,0,No change,106011108,Cessnock,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,0.1302,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110852,0.1302,344519.4,6364836.8,151.3386303,-32.8435262,core,10601110852
10601110855,0,No change,106011108,Cessnock,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,0.1902,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110855,0.1901,343670.2,6367019.2,151.3299281,-32.8237269,core,10601110855
10601110858,1,New,106011108,Cessnock,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,0.2068,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110858,0.2067,344222.6,6364975.6,151.3354836,-32.8422326,core,10601110858
10601110859,1,New,106011108,Cessnock,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,0.4384,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110859,0.4383,343239.6,6366196.1,151.3251913,-32.8310874,core,10601110859
10601110860,1,New,106011108,Cessnock,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,0.204,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110860,0.204,343603.1,6364205.8,151.328737,-32.8490851,core,10601110860
10601110861,1,New,106011108,Cessnock,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,1.2876,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110861,1.2873,343957.0,6367746.4,151.3331141,-32.8172111,core,10601110861
10601110862,1,New,106011108,Cessnock,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,5.4131,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110862,5.4121,342519.4,6364885.3,151.3172762,-32.8428033,core,10601110862
10601110863,1,New,106011108,Cessnock,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,0.2566,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110863,0.2566,342321.4,6363395.4,151.314907,-32.8562086,core,10601110863
10601110864,1,New,106011108,Cessnock,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,4.8132,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110864,4.8122,344783.6,6369480.4,151.3422311,-32.8016927,core,10601110864
10601110865,1,New,106011108,Cessnock,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,0.3631,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110865,0.3631,343042.7,6363647.5,151.3226557,-32.8540387,core,10601110865
10601110866,1,New,106011108,Cessnock,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,0.8351,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110866,0.8349,344017.0,6366606.2,151.3335624,-32.8275005,core,10601110866
10601110901,0,No change,106011109,Cessnock Surrounds,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,0.3318,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110901,0.3318,341823.6,6357105.0,151.3085115,-32.912855,core,10601110901
10601110902,0,No change,106011109,Cessnock Surrounds,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,0.8093,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110902,0.8092,342641.5,6357115.4,151.3172568,-32.9128796,core,10601110902
