poi_id,lat,lon,category,category_group,attraction_weight,name,brand,opening_hours,levels,in_cbd,year,weight_source
w987687053,-32.9456626,151.6267441,amenity:fuel,amenity,0.4,Costco Fuel,Costco,,,0,2026,assumed
w1046398988,-32.9455721,151.6275549,amenity:parking,amenity,0.4,,,,,0,2026,assumed
w1495765915,-32.943028,151.6248199,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w1495765916,-32.9430511,151.6248347,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w1495765917,-32.9430664,151.6248559,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w1495765918,-32.9430817,151.6248772,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w1495765919,-32.943097,151.6248985,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w1495765920,-32.9431122,151.6249199,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w1495765921,-32.943127,151.6249408,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w1495765922,-32.943142,151.6249616,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w1495765923,-32.9431571,151.6249827,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w1495765924,-32.9431722,151.6250037,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w1495765925,-32.9431874,151.6250249,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w1495765926,-32.9432027,151.6250464,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w1495765927,-32.9432178,151.6250673,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w1495765928,-32.9432324,151.625088,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w1495765929,-32.9432475,151.6251094,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w1495765930,-32.9432626,151.6251309,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w60730052,-32.9405297,151.6258374,landuse:industrial,landuse,0.1,,,,,0,2026,assumed
w242540573,-32.9408724,151.6352485,landuse:industrial,landuse,0.1,Cardiff Central,,,,0,2026,assumed
w405313023,-32.9348705,151.6285609,landuse:residential,landuse,0.1,,,,,0,2026,assumed
w405397442,-32.9366927,151.6299429,landuse:residential,landuse,0.1,,,,,0,2026,assumed
w405397443,-32.9355425,151.6307915,landuse:retail,landuse,0.1,,,,,0,2026,assumed
w405397444,-32.9349278,151.6372702,landuse:residential,landuse,0.1,,,,,0,2026,assumed
w405399502,-32.9403426,151.6390421,landuse:industrial,landuse,0.1,,,,,0,2026,assumed
w31611195,-32.9386432,151.6277718,leisure:pitch,leisure,0.9,Jack Edwards Oval,,,,0,2026,assumed
w31611201,-32.9381279,151.6294237,civic:school,civic,1.5,Argenton Public School,,,,0,2026,assumed
w60725903,-32.9394781,151.6285736,leisure:track,leisure,0.9,,,,,0,2026,assumed
w405304513,-32.9406114,151.6263948,amenity:parking,amenity,0.4,,,,,0,2026,assumed
w405313006,-32.9359363,151.6296703,amenity:parking,amenity,0.4,,,,,0,2026,assumed
w405313012,-32.9357482,151.6295237,food:pub,food,1.2,Argenton Hotel,,,,0,2026,assumed
w405313013,-32.9352166,151.6291204,food:fast_food,food,1.2,Argy Topshop,,,,0,2026,assumed
w405313022,-32.935838,151.6296105,landuse:retail,landuse,0.1,,,,,0,2026,assumed
w405397437,-32.9380478,151.6268027,landuse:industrial,landuse,0.1,Newcastle Mines Rescue Station,,,,0,2026,assumed
w660353235,-32.9373776,151.6275424,leisure:dog_park,leisure,0.9,Kindyerra Park,,,,0,2026,assumed
w1389438454,-32.9355014,151.6295584,amenity:shelter,amenity,0.4,,,,,0,2026,assumed
w1451563216,-32.9395746,151.6245449,amenity:parking,amenity,0.4,,,,,0,2026,assumed
w31612412,-32.9370506,151.6319202,leisure:park,leisure,0.9,,,,,0,2026,assumed
w242540588,-32.9361207,151.6313054,leisure:playground,leisure,0.9,,,,,0,2026,assumed
w242540591,-32.9362192,151.6314092,leisure:park,leisure,0.9,,,,,0,2026,assumed
w405397435,-32.9364333,151.6314855,civic:community_centre,civic,1.5,Agenton Community Hall,,,,0,2026,assumed
w1357102039,-32.9402748,151.6363721,amenity:fuel,amenity,0.4,Shell,Shell,,,0,2026,assumed
w1357102042,-32.9400894,151.636338,retail:convenience,retail,1.0,Shell,Shell,24/7,,0,2026,assumed
w1357102043,-32.9399412,151.6361596,food:fast_food,food,1.2,Oporto,Oporto,Th-Fr 09:00-21:00; Sa-We 10:00-21:00,,0,2026,assumed
w36897878,-32.9466698,151.6380552,leisure:park,leisure,0.9,,,,,0,2026,assumed
w1051641032,-32.9459866,151.6436075,leisure:pitch,leisure,0.9,,,,,0,2026,assumed
w1051641033,-32.9466596,151.6434438,leisure:pitch,leisure,0.9,,,,,0,2026,assumed
w1051641034,-32.946196,151.6436834,leisure:pitch,leisure,0.9,,,,,0,2026,assumed
w1051641035,-32.9463834,151.6435906,leisure:track,leisure,0.9,,,,,0,2026,assumed
w1051641036,-32.9464775,151.6435149,leisure:track,leisure,0.9,,,,,0,2026,assumed
w1051641041,-32.9466965,151.6441859,leisure:track,leisure,0.9,,,,,0,2026,assumed
w1051641042,-32.9465094,151.6440706,leisure:track,leisure,0.9,,,,,0,2026,assumed
w1051641043,-32.9467749,151.6443545,leisure:track,leisure,0.9,,,,,0,2026,assumed
w1300126881,-32.9474881,151.6459957,landuse:residential,landuse,0.1,,,,,0,2026,assumed
