building_id,lat,lon,footprint_m2,levels,levels_source,gross_floor_area_m2,building_type,shop,amenity,name,year
b1285741798,-32.9314444,151.7250749,196.7,1,assumed,196.7,house,,,,2026
b1285741799,-32.9315433,151.7249561,196.2,1,assumed,196.2,house,,,,2026
b1285741800,-32.9312095,151.7249413,196.8,1,assumed,196.8,house,,,,2026
b1285741801,-32.9313085,151.7248226,196.1,1,assumed,196.1,house,,,,2026
b1285741802,-32.9309131,151.7253015,198.3,1,assumed,198.3,house,,,,2026
b1285741803,-32.9310069,151.7251884,198.8,1,assumed,198.8,house,,,,2026
b1285741804,-32.9322769,151.7240592,198.9,1,assumed,198.9,house,,,,2026
b1285741805,-32.9321832,151.7241725,198.3,1,assumed,198.3,house,,,,2026
b1285741806,-32.9317472,151.7246877,173.2,1,assumed,173.2,house,,,,2026
b1285741807,-32.9313449,151.7251754,172.0,1,assumed,172.0,house,,,,2026
b1285741808,-32.9315968,151.724473,207.8,1,assumed,207.8,house,,,,2026
b1285741809,-32.9311086,151.725066,207.9,1,assumed,207.9,house,,,,2026
b1285741810,-32.9314102,151.7246759,213.0,1,assumed,213.0,house,,,,2026
b1285741811,-32.9312444,151.7253125,317.2,1,assumed,317.2,house,,,,2026
b1285741812,-32.9310812,151.7255109,172.1,1,assumed,172.1,house,,,,2026
b1285741813,-32.9310072,151.725436,152.7,1,assumed,152.7,house,,,,2026
b1285741814,-32.9325365,151.7226334,675.0,2,assumed,1350.1,yes,,,,2026
b1285741815,-32.9325457,151.7227825,30.2,2,assumed,60.4,roof,,,,2026
b1285741816,-32.9330544,151.722915,75.5,2,assumed,151.1,yes,,,,2026
b1285741819,-32.9328568,151.7239465,419.4,2,assumed,838.9,residential,,,,2026
b1285741820,-32.9327348,151.723783,420.9,2,assumed,841.7,residential,,,,2026
b1285741821,-32.9326729,151.7240543,87.8,2,assumed,175.5,yes,,,,2026
b1285741823,-32.9325036,151.7240267,382.3,2,assumed,764.6,residential,,,,2026
