SA1_CODE21,SA2_CODE21,SA2_NAME21,zone_tier,area_km2,x_mga56,y_mga56,lon,lat,population,dwellings_total,office,retail,food,civic,health,leisure,tourism,amenity,landuse,job_index,jobs_sa2,jobs,jobs_source,attr_HW,attr_HE,attr_HS,attr_HO,attr_WB,attr_NHB
10601110817,106011108,Cessnock,core,0.1932,345592.6,6367091.6,151.3504701,-32.8233469,411,179,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,25.0,7459,177.7,modelled_from_WPP_SA2,177.7,39.22,11.0,17.0,7.0,10.0
10601110818,106011108,Cessnock,core,1.0957,345483.0,6367500.9,151.3493682,-32.8196407,251,10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,7459,35.5,modelled_from_WPP_SA2,35.5,6.5200000000000005,1.5,8.0,3.0,3.0
10601110819,106011108,Cessnock,core,0.2146,346126.9,6366945.1,151.3561521,-32.8247428,480,198,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,7459,42.6,modelled_from_WPP_SA2,42.6,9.6,0.0,15.0,0.0,0.0
10601110820,106011108,Cessnock,core,0.194,347165.6,6366735.7,151.3672097,-32.826776,428,194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7459,0.0,modelled_from_WPP_SA2,0.0,8.56,0.0,0.0,0.0,0.0
10601110821,106011108,Cessnock,core,0.2478,347069.1,6366352.8,151.3661159,-32.8302149,327,164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7459,0.0,modelled_from_WPP_SA2,0.0,6.54,0.0,0.0,0.0,0.0
10601110822,106011108,Cessnock,core,0.5757,349891.5,6363255.9,151.3957575,-32.8585303,528,203,0.0,0.0,0.0,1.0,0.0,9.0,0.0,1.0,1.0,34.2,7459,243.1,modelled_from_WPP_SA2,243.1,41.06,0.5,49.0,6.0,4.0
10601110823,106011108,Cessnock,core,1.091,349141.4,6363938.5,151.387855,-32.8522717,216,77,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,8.4,7459,59.7,modelled_from_WPP_SA2,59.7,4.32,0.0,20.0,0.0,0.0
10601110824,106011108,Cessnock,core,0.2393,347726.0,6366736.0,151.3731953,-32.8268507,197,80,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,15.2,7459,108.0,modelled_from_WPP_SA2,108.0,33.94,0.0,3.0,5.0,3.0
10601110825,106011108,Cessnock,core,0.4316,347533.9,6367138.0,151.37121,-32.8231993,857,254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.4,7459,2.8,modelled_from_WPP_SA2,2.8,17.14,0.0,0.0,0.0,0.0
10601110826,106011108,Cessnock,core,28.7624,349063.8,6366724.2,151.3874808,-32.8271429,171,69,0.0,0.0,0.0,1.0,0.0,6.0,41.0,7.0,0.0,157.0,7459,1115.9,modelled_from_WPP_SA2,1115.9,36.92,3.5,163.0,12.0,10.0
10601110827,106011108,Cessnock,core,13.0207,346199.4,6363568.7,151.3563652,-32.8551975,77,29,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,7459,42.6,modelled_from_WPP_SA2,42.6,2.54,11.0,4.0,2.0,7.0
10601110828,106011108,Cessnock,core,0.3788,343235.2,6366902.4,151.3252636,-32.8247182,118,104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.2,7459,8.5,modelled_from_WPP_SA2,8.5,2.86,0.5,1.0,1.0,1.0
10601110829,106011108,Cessnock,core,0.1823,346599.6,6365465.2,151.3609548,-32.8381525,421,173,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,7459,42.6,modelled_from_WPP_SA2,42.6,8.42,0.0,15.0,0.0,0.0
10601110830,106011108,Cessnock,core,0.3497,346618.3,6366930.4,151.3613971,-32.8249443,746,310,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,7459,14.2,modelled_from_WPP_SA2,14.2,14.92,0.0,5.0,0.0,0.0
10601110831,106011108,Cessnock,core,0.1157,346243.7,6366561.8,151.3573354,-32.8282155,213,97,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,22.2,7459,157.8,modelled_from_WPP_SA2,157.8,4.76,12.5,19.0,1.0,16.0
10601110832,106011108,Cessnock,core,0.2494,346500.5,6366436.2,151.3600568,-32.8293834,365,154,0.0,8.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,45.4,7459,322.7,modelled_from_WPP_SA2,322.7,7.3,84.0,34.0,0.0,45.0
10601110833,106011108,Cessnock,core,0.4045,346383.5,6365958.9,151.3587285,-32.8336709,344,166,0.0,4.0,5.0,2.0,0.0,5.0,0.0,19.0,2.0,105.4,7459,749.2,modelled_from_WPP_SA2,749.2,76.38,69.5,83.0,29.0,70.0
10601110834,106011108,Cessnock,core,0.5436,346114.5,6365293.4,151.3557451,-32.8396337,413,201,0.0,2.0,2.0,3.0,0.0,14.0,1.0,16.0,1.0,112.2,7459,797.5,modelled_from_WPP_SA2,797.5,106.26,36.0,112.0,31.0,45.0
10601110835,106011108,Cessnock,core,0.1122,346504.2,6364529.2,151.359781,-32.8465792,211,95,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,7.0,7459,49.8,modelled_from_WPP_SA2,49.8,4.72,0.5,16.0,1.0,1.0
10601110836,106011108,Cessnock,core,0.2524,344308.2,6365446.1,151.3364771,-32.8380018,556,237,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,7459,28.4,modelled_from_WPP_SA2,28.4,11.120000000000001,0.0,10.0,0.0,0.0
10601110837,106011108,Cessnock,core,0.4276,344819.5,6365713.7,151.3419832,-32.8356621,706,353,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,15.2,7459,108.0,modelled_from_WPP_SA2,108.0,14.620000000000001,0.5,20.0,4.0,1.0
10601110838,106011108,Cessnock,core,0.1903,347807.1,6365085.1,151.3737895,-32.8417488,336,161,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,7459,14.2,modelled_from_WPP_SA2,14.2,6.72,0.0,5.0,0.0,0.0
10601110839,106011108,Cessnock,core,0.1902,348004.0,6364958.8,151.3758715,-32.842915,364,147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7459,0.0,modelled_from_WPP_SA2,0.0,7.28,0.0,0.0,0.0,0.0
10601110840,106011108,Cessnock,core,0.1897,348228.8,6364895.0,151.378263,-32.8435212,320,129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7459,0.0,modelled_from_WPP_SA2,0.0,6.4,0.0,0.0,0.0,0.0
10601110841,106011108,Cessnock,core,0.3113,348452.7,6364822.5,151.3806428,-32.8442061,411,155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7459,0.0,modelled_from_WPP_SA2,0.0,8.22,0.0,0.0,0.0,0.0
10601110842,106011108,Cessnock,core,0.7412,341503.1,6363094.6,151.3061137,-32.8588026,351,114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7459,0.0,modelled_from_WPP_SA2,0.0,7.0200000000000005,0.0,0.0,0.0,0.0
10601110843,106011108,Cessnock,core,0.1823,344973.7,6364911.2,151.3434956,-32.8429198,375,168,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,7459,28.4,modelled_from_WPP_SA2,28.4,7.5,0.0,10.0,0.0,0.0
10601110844,106011108,Cessnock,core,0.182,344771.9,6365148.9,151.3413806,-32.8407478,387,161,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,7.0,7459,49.8,modelled_from_WPP_SA2,49.8,9.24,1.5,13.0,3.0,3.0
10601110845,106011108,Cessnock,core,0.3063,345440.4,6365610.5,151.3485973,-32.8366798,502,320,0.0,3.0,0.0,5.0,0.0,2.0,0.0,3.0,1.0,94.2,7459,669.6,modelled_from_WPP_SA2,669.6,161.54,31.5,34.0,28.0,33.0
10601110847,106011108,Cessnock,core,0.4727,342499.2,6362712.0,151.3166907,-32.862396,690,261,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,19.0,7459,135.0,modelled_from_WPP_SA2,135.0,44.8,1.0,10.0,7.0,5.0
10601110848,106011108,Cessnock,core,0.1557,342772.2,6363429.3,151.319729,-32.8559681,233,82,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,13.0,7459,92.4,modelled_from_WPP_SA2,92.4,5.16,0.5,31.0,1.0,1.0
10601110850,106011108,Cessnock,core,0.2207,343880.8,6364267.5,151.331713,-32.8485688,416,166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7459,0.0,modelled_from_WPP_SA2,0.0,8.32,0.0,0.0,0.0,0.0
10601110852,106011108,Cessnock,core,0.1302,344519.4,6364836.8,151.3386303,-32.8435262,267,109,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,7459,21.3,modelled_from_WPP_SA2,21.3,5.34,0.0,3.0,0.0,0.0
10601110855,106011108,Cessnock,core,0.1901,343670.2,6367019.2,151.3299281,-32.8237269,373,127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.4,7459,2.8,modelled_from_WPP_SA2,2.8,7.46,0.0,0.0,0.0,0.0
10601110858,106011108,Cessnock,core,0.2067,344222.6,6364975.6,151.3354836,-32.8422326,508,223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7459,0.0,modelled_from_WPP_SA2,0.0,10.16,0.0,0.0,0.0,0.0
10601110859,106011108,Cessnock,core,0.4383,343239.6,6366196.1,151.3251913,-32.8310874,757,221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.2,7459,22.7,modelled_from_WPP_SA2,22.7,16.64,1.5,3.0,3.0,3.0
